report_date,governorate,city,longitude,latitude,issue_type,report_headline,report_detail,text_length,report_category,proximity_to_service,repetition_flag,report_truth
2025-12-21,Sohag,Sohag City,31.763919,26.634039,road_damage,[Follow-up] Flooded Road,"Still not resolved, I reported this last week: Road is flooded and completely impassable near Building 22.",131,citizen,1,1,Repeated
2026-03-11,Sharqia,Zagazig,31.460732,30.665349,water,???,...,7,citizen,1,0,Unclear
2026-02-07,Dakahlia,Mansoura,31.376986,30.964423,telecom,No Internet,The entire building at Building 21 has no internet since yesterday. The building is shaking and cracking.,117,business,1,0,Emergency
2025-05-02,Red Sea,Hurghada,33.798676,27.277001,road_damage,[Follow-up] Damaged Pavement,I reported this before but it was not fixed: The pavement is cracked and very dangerous for pedestrians.,133,citizen,1,1,Repeated
2025-12-21,Alexandria,El Mandara,29.911856,31.22338,waste_garbage,Trash Accumulation,Mountains of waste blocking the pavement on Street 19.,73,citizen,0,0,True
2026-01-31,Giza,Mohandessin,31.154139,29.984724,gas_issue,Suspected Gas Explosion,Neighbors are evacuating due to the strong gas odor. We are suffering badly.,100,citizen,1,0,True
2026-03-14,Luxor,Karnak,32.656373,25.650776,telecom,Request for Financial Aid,"I need financial assistance, I cannot afford rent this month.",87,citizen,1,0,Out_of_scope
2026-01-23,Cairo,Nasr City,31.176631,30.017769,gas_issue,Pressure Drop,Neighbors are evacuating due to the strong gas odor. Immediate danger — residents are evacuating. This is a total mess.,133,citizen,0,0,Emergency
2026-02-16,Luxor,Karnak,32.566293,25.675966,road_damage,Political Complaint,I want to file a complaint about the local council decisions.,81,citizen,1,0,Out_of_scope
2025-10-21,Red Sea,El Gouna,33.769478,27.326022,waste_garbage,[Follow-up] Trash Accumulation,I reported this before but it was not fixed: Trash has not been collected from Street 42 for a week.,131,citizen,1,1,Repeated
2025-09-17,Sohag,Akhmim,31.74168,26.521689,telecom,!!! FIRE !!! - No Internet,FIRE!! Mobile signal is completely lost in the Street 28 area. It has been like this for two days.,125,citizen,1,0,Emergency
2025-06-16,Dakahlia,El Gamalia,31.435686,31.065123,gas_issue,Noise Complaint,Neighbors are making too much noise late at night at Building 4.,80,business,0,0,Out_of_scope
2026-04-09,Red Sea,Ras Gharib,33.857429,27.23321,electricity,Frequent Voltage Drops,The electricity has been out at Building 78 for hours. It has been like this for two days.,113,citizen,1,0,True
2025-11-07,Suez,Ataka,32.480996,29.945075,telecom,Political Complaint,I want to file a complaint about the local council decisions.,81,citizen,1,0,Out_of_scope
2025-09-14,Sharqia,Abu Hammad,31.448994,30.596406,gas_issue,[Follow-up] Suspected Gas Explosion,This is the second time I am reporting Neighbors are evacuating due to the strong gas odor.,127,citizen,1,1,Repeated
2026-01-13,Qalyubia,Khusus,31.233866,30.374921,gas_issue,Pressure Drop,Construction work may have damaged a pipe on Street 83.,69,citizen,1,0,True
2026-03-03,Ismailia,Abu Sultan,32.34382,30.531442,telecom,Phone Line Dead,The telephone landline has been dead for three days. Please help quickly!,89,citizen,1,0,True
2025-04-18,Qalyubia,Khusus,31.175838,30.3283,road_damage,Medical Emergency,"Someone collapsed on Street 2, we need an ambulance now.",74,citizen,1,0,Out_of_scope
2025-07-25,Sohag,Sohag City,31.743927,26.552034,water,Contaminated Water,Sewage water is flooding the entrance of Street 136.,71,citizen,0,0,True
2025-12-10,Alexandria,El Mandara,29.910711,31.257939,waste_garbage,???,Dead carcass in,19,citizen,1,0,Unclear
2025-12-25,Giza,Mohandessin,31.190186,29.949733,road_damage,Large Pothole,Road is flooded and completely impassable near Building 28.,73,citizen,1,0,True
2025-09-07,Suez,Suez City,32.592295,30.023877,road_damage,Large Pothole,"The pavement is cracked and very dangerous for pedestrians. Fix it ASAP, we can't live like this.",111,citizen,0,1,True
2025-05-26,Qalyubia,Khusus,31.206534,30.284307,road_damage,Damaged Pavement,Someone told me there is road is flooded and completely impassable near Building 50. I could be wrong about this.,130,citizen,1,0,False
2025-09-27,Red Sea,Hurghada,33.800178,27.191332,road_damage,Check this,The pavement is,26,citizen,1,0,Unclear
2026-03-30,Gharbia,Tanta,31.076244,30.870549,waste_garbage,???,Trash has not b,19,citizen,1,0,Unclear
2026-01-16,Ismailia,Ismailia City,32.226374,30.606735,waste_garbage,Dead Animal,Mountains of waste blocking the pavement on Street 66.,66,business,1,0,True
2026-02-07,Gharbia,El Santa,31.070802,30.858765,electricity,Electric Sparking,The electricity has been out at Building 76 for hours.,72,citizen,1,0,True
2025-08-31,Dakahlia,El Gamalia,31.311733,31.062243,electricity,[Follow-up] Transformer Explosion,Following up on my previous report about A technical failure in the 500kVA transformer near Building 2.,137,business,1,1,Repeated
2025-08-29,Suez,Ataka,32.587207,29.956478,waste_garbage,[Follow-up] Health Hazard Waste,"Still not resolved, I reported this last week: Dead carcass in the middle of the road causing a health risk.",140,citizen,1,1,Repeated
2025-05-02,Sohag,Akhmim,31.629566,26.611917,gas_issue,[Follow-up] Pressure Drop,Resubmitting my complaint about Neighbors are evacuating due to the strong gas odor.,110,citizen,1,1,Repeated
2025-12-07,Alexandria,Downtown Alexandria,29.966353,31.154039,gas_issue,Suspected Gas Explosion,"Low gas pressure, the heater is not working.",68,citizen,1,0,True
2025-09-04,Suez,Ain Sokhna,32.548331,29.990144,water,Sewage Overflow,The water smells terrible and is brown in color. I see fire and thick smoke. Everything is broken.,114,business,1,0,Emergency
2025-04-21,Suez,Ain Sokhna,32.510025,29.930147,gas_issue,[Follow-up] Valve Damage,Resubmitting my complaint about A very strong smell of gas detected at Building 25.,108,citizen,1,1,Repeated
2026-03-13,Gharbia,Mahalla,31.089621,30.952182,waste_garbage,Illegal Dumping,Illegal dumping of construction waste near Building 30. We are suffering badly.,95,citizen,1,0,True
2026-01-05,Ismailia,El Qantara,32.193462,30.532914,water,[Follow-up] No Water Supply,This is the second time I am reporting Main supply line is leaking heavily near the valve.,118,business,1,1,Repeated
2025-06-28,Giza,Dokki,31.140753,29.989713,waste_garbage,Dead Animal,Mountains of waste blocking the pavement on Street 14.,66,citizen,1,0,True
2025-05-24,Qalyubia,Khusus,31.207635,30.321282,road_damage,[Follow-up] Large Pothole,I reported this before but it was not fixed: A large pothole on Street 110 is damaging vehicles.,122,citizen,1,1,Repeated
2026-03-24,Qalyubia,Qalyub,31.161845,30.337519,water,[Follow-up] Contaminated Water,This is the second time I am reporting Main supply line is leaking heavily near the valve.,121,citizen,1,1,Repeated
2026-01-23,Sohag,Tahta,31.653048,26.490389,telecom,Phone Line Dead,I think there might be mobile signal is completely lost in the Street 68 area. although my neighbor disagrees.,126,business,0,0,False
2025-04-16,Cairo,Maadi,31.250907,30.091221,electricity,Construction Permit Question,How do I get a permit to renovate my flat at Building 37?,86,citizen,1,0,Out_of_scope
2025-11-23,Aswan,Daraw,32.826178,24.021771,road_damage,Damaged Pavement,A large pothole on Street 111 is damaging vehicles. Please help quickly!,89,citizen,0,0,True
2025-10-27,Aswan,Daraw,32.848838,24.155472,water,No Water Supply,I am not sure but maybe a 4-inch diameter pipe burst in front of Building 56. but the workers said it was already fixed.,136,citizen,0,0,False
2026-02-09,Sharqia,Belbeis,31.569531,30.553815,gas_issue,Construction Permit Question,How do I get a permit to renovate my flat at Building 5?,85,business,1,0,Out_of_scope
2025-07-02,Sohag,Sohag City,31.702515,26.584226,road_damage,Road Collapse,The pavement is cracked and very dangerous for pedestrians. The situation is critical and life-threatening.,121,citizen,0,0,Emergency
2026-02-10,Aswan,Aswan City,32.920604,24.013519,telecom,Cable Cut,The entire building at Building 21 has no internet since yesterday.,77,citizen,1,1,True
2025-07-23,Aswan,Edfu,32.863548,24.09032,water,Water Leak,Main supply line is leaking heavily near the valve.,62,citizen,1,1,True
2026-01-23,Gharbia,El Santa,31.082435,30.84968,electricity,Broken Street Light,Power surges are damaging appliances in the whole building.,79,citizen,1,0,True
2025-09-24,Luxor,Esna,32.611084,25.680055,gas_issue,!!! FIRE !!! - Suspected Gas Explosion,FIRE!! Construction work may have damaged a pipe on Street 49. I already called before and nothing happened.,147,business,1,0,Emergency
2026-01-26,Alexandria,Downtown Alexandria,29.858899,31.274472,telecom,Signal Loss,A friend said he saw the entire building at Building 13 has no internet since yesterday. I could be wrong about this.,129,citizen,0,0,False
2025-10-29,Giza,6th of October City,31.171304,30.050644,water,[Follow-up] Sewage Overflow,"Still not resolved, I reported this last week: Water pressure is extremely low, nothing comes from the tap.",135,citizen,1,1,Repeated
2025-05-20,Sohag,Sohag City,31.653263,26.577794,waste_garbage,Noise Complaint,Neighbors are making too much noise late at night at Building 30.,81,citizen,1,0,Out_of_scope
2025-04-25,Suez,El Arbaeen,32.477159,30.031348,water,Sewage Overflow,Sewage water is flooding the entrance of Street 15.,67,citizen,1,0,True
2025-08-14,Red Sea,Ras Gharib,33.770133,27.277054,electricity,Electric Sparking,A technical failure in the 500kVA transformer near Building 19.,81,business,1,0,True
2025-12-29,Giza,6th of October City,31.286924,30.076838,water,[Follow-up] Sewage Overflow,This is the second time I am reporting Main supply line is leaking heavily near the valve.,118,business,1,1,Repeated
2025-04-23,Qalyubia,Khusus,31.22877,30.340708,electricity,Medical Emergency,"Someone collapsed on Street 76, we need an ambulance now.",75,citizen,1,0,Out_of_scope
2025-05-07,Suez,Ain Sokhna,32.61427,30.020054,road_damage,???,Part of the roa,19,citizen,1,0,Unclear
2025-12-28,Ismailia,Ismailia City,32.262032,30.565929,electricity,Electric Sparking,The electricity has been out at Building 47 for hours.,72,citizen,1,0,True
2025-09-18,Luxor,Armant,32.600715,25.740076,gas_issue,Valve Damage,A very strong smell of gas detected at Building 38. The building is shaking and cracking. It has been like this for two days.,138,business,0,0,Emergency
2025-10-01,Giza,6th of October City,31.214752,29.927827,gas_issue,Request for Financial Aid,"I need financial assistance, I cannot afford rent this month.",87,citizen,1,0,Out_of_scope
2025-07-31,Red Sea,Marsa Alam,33.767019,27.324341,electricity,Broken Street Light,A technical failure in the 500kVA transformer near Building 60. Please help quickly!,104,citizen,0,0,True
2025-11-17,Alexandria,Downtown Alexandria,29.945978,31.192683,road_damage,Road Collapse,Road is flooded and completely impassable near Building 54.,73,citizen,0,0,True
2025-08-20,Aswan,Kom Ombo,32.835697,24.145772,waste_garbage,Illegal Dumping,Trash has not been collected from Street 95 for a week. It has been like this for two days.,107,citizen,0,1,True
2025-12-11,Red Sea,Hurghada,33.784961,27.185993,telecom,Phone Line Dead,The entire building at Building 73 has no internet since yesterday.,83,citizen,1,0,True
2025-12-09,Cairo,Heliopolis,31.17885,30.101745,road_damage,Damaged Pavement,Part of the road near Building 70 has completely collapsed. Please help quickly!,97,citizen,1,0,True
2025-05-30,Cairo,Maadi,31.239874,30.083075,gas_issue,Pressure Drop,"Low gas pressure, the heater is not working.",58,citizen,1,0,True
2025-08-25,Luxor,Armant,32.713844,25.680487,telecom,Signal Loss,I think there might be mobile signal is completely lost in the Street 16 area. I could be wrong about this.,119,citizen,0,0,False
2025-06-04,Alexandria,Smouha,29.938591,31.140291,road_damage,Damaged Pavement,Road is flooded and completely impassable near Building 71.,76,citizen,1,0,True
2025-10-31,Sohag,Akhmim,31.757795,26.547811,electricity,Transformer Explosion,I am not sure but maybe a technical failure in the 500kva transformer near Building 44. but I have not seen it myself.,140,citizen,0,0,False
2025-06-26,Ismailia,El Qantara,32.324584,30.527241,water,Burst Pipe,Sewage water is flooding the entrance of Street 24.,62,citizen,1,0,True
2025-06-18,Dakahlia,El Gamalia,31.41607,31.095295,waste_garbage,[Follow-up] Illegal Dumping,Following up on my previous report about The garbage smell is unbearable and attracting insects.,124,citizen,1,1,Repeated
2025-05-26,Qalyubia,Banha,31.225802,30.305218,waste_garbage,Health Hazard Waste,Illegal dumping of construction waste near Building 36.,75,citizen,0,1,True
2026-01-26,Red Sea,Marsa Alam,33.775323,27.182533,electricity,[Follow-up] Broken Street Light,I reported this before but it was not fixed: The electricity has been out at Building 44 for hours.,131,citizen,1,1,Repeated
2026-02-25,Suez,Suez City,32.554677,29.901481,water,!!! EXPLOSION !!! - No Water Supply,EXPLOSION!! Sewage water is flooding the entrance of Street 97.,99,citizen,0,0,Emergency
2025-11-15,Cairo,Shubra,31.226598,29.977453,road_damage,Flooded Road,Road is flooded and completely impassable near Building 63. We are suffering badly.,96,citizen,1,0,True
2026-01-29,Ismailia,Abu Sultan,32.254742,30.523767,road_damage,[Follow-up] Road Collapse,I reported this before but it was not fixed: The pavement is cracked and very dangerous for pedestrians.,130,citizen,1,1,Repeated
2025-09-18,Cairo,Downtown Cairo,31.183811,30.083922,electricity,Electric Sparking,Repeated outages every night since last week at Street 98.,76,citizen,1,0,True
2025-05-28,Aswan,Aswan City,32.911921,24.146838,electricity,Transformer Explosion,Power surges are damaging appliances in the whole building. Please help quickly!,102,citizen,0,0,True
2025-10-18,Giza,6th of October City,31.167831,30.060717,gas_issue,[Follow-up] Gas Leak,This is the second time I am reporting Construction work may have damaged a pipe on Street 103.,116,citizen,1,1,Repeated
2026-01-11,Luxor,Luxor City,32.590625,25.692097,electricity,Electric Sparking,I think there might be live wires are exposed on the pole near Street 90. though everything looks fine from outside.,134,citizen,0,0,False
2025-08-12,Giza,Mohandessin,31.229372,30.077807,telecom,Signal Loss,I heard rumors about a cable appears to have been cut near Street 119. though everything looks fine from outside.,125,citizen,0,0,False
2026-02-22,Red Sea,Hurghada,33.743471,27.234211,gas_issue,Gas Leak,A very strong smell of gas detected at Building 58. The whole street is blocked.,89,citizen,1,0,True
2025-04-09,Red Sea,Hurghada,33.861171,27.249857,waste_garbage,Health Hazard Waste,Dead carcass in the middle of the road causing a health risk. The building is shaking and cracking.,119,citizen,0,0,Emergency
2025-09-12,Qalyubia,Khusus,31.220651,30.407758,electricity,[Follow-up] Broken Street Light,"Still not resolved, I reported this last week: Power surges are damaging appliances in the whole building.",138,citizen,1,1,Repeated
2025-10-21,Minya,Abu Qurqas,30.685421,28.040446,electricity,[Follow-up] Broken Street Light,I reported this before but it was not fixed: Repeated outages every night since last week at Street 99.,135,citizen,1,1,Repeated
2026-02-03,Gharbia,El Santa,31.069813,30.815932,gas_issue,[Follow-up] Suspected Gas Explosion,This is the second time I am reporting Construction work may have damaged a pipe on Street 22.,130,citizen,1,1,Repeated
2025-10-17,Ismailia,Ismailia City,32.259245,30.619864,telecom,Political Complaint,I want to file a complaint about the local council decisions.,81,business,1,1,Out_of_scope
2026-01-21,Alexandria,Miami,29.973809,31.132446,water,!!! EXPLOSION !!! - Contaminated Water,"EXPLOSION!! Water pressure is extremely low, nothing comes from the tap.",111,citizen,1,0,Emergency
2025-08-23,Minya,Mallawi,30.677291,28.145289,road_damage,Construction Permit Question,How do I get a permit to renovate my flat at Building 31?,86,citizen,1,0,Out_of_scope
2025-12-28,Sohag,Akhmim,31.767241,26.537855,waste_garbage,Illegal Dumping,Dead carcass in the middle of the road causing a health risk.,77,citizen,1,0,True
2026-01-24,Cairo,Shubra,31.215094,30.041295,gas_issue,Gas Leak,"Low gas pressure, the heater is not working. No one is answering the phone.",84,citizen,1,0,True
2026-03-26,Sohag,Tahta,31.764576,26.620541,water,No Water Supply,"Water pressure is extremely low, nothing comes from the tap. Fix it ASAP, we can't live like this.",114,citizen,0,0,True
2025-11-29,Ismailia,Abu Sultan,32.213516,30.643121,telecom,Phone Line Dead,Mobile signal is completely lost in the Street 74 area.,71,citizen,1,0,True
2026-02-12,Red Sea,Ras Gharib,33.777696,27.19569,telecom,No Internet,The telephone landline has been dead for three days.,64,citizen,0,0,True
2025-07-15,Cairo,Shubra,31.19441,30.04686,road_damage,Flooded Road,A large pothole on Street 37 is damaging vehicles. I see fire and thick smoke.,91,business,1,0,Emergency
2025-05-23,Luxor,Luxor City,32.634822,25.669673,road_damage,Damaged Pavement,A large pothole on Street 100 is damaging vehicles. This is a total mess.,90,citizen,1,0,True
2026-03-08,Alexandria,Smouha,29.892868,31.176468,gas_issue,[Follow-up] Pressure Drop,I reported this before but it was not fixed: The main gas meter is making a loud whistling sound.,123,citizen,1,1,Repeated
2025-05-13,Gharbia,Kafr El Zayat,30.988315,30.802309,electricity,Check this,help,15,citizen,1,0,Unclear
2025-07-18,Sohag,Girga,31.743595,26.522715,electricity,Transformer Explosion,A technical failure in the 500kVA transformer near Building 52. No one is answering the phone.,116,citizen,1,0,True
2025-09-03,Giza,6th of October City,31.260475,30.021993,waste_garbage,Illegal Dumping,Trash has not been collected from Street 140 for a week. The whole street is blocked.,101,citizen,1,0,True
2025-06-02,Cairo,Shubra,31.212109,30.103606,waste_garbage,Garbage Pile,Trash has not been collected from Street 112 for a week. The situation is critical and life-threatening. No one is answering the phone.,148,citizen,0,0,Emergency
2025-06-20,Giza,Mohandessin,31.187513,30.050162,water,!!! FIRE !!! - Burst Pipe,"FIRE!! Water pressure is extremely low, nothing comes from the tap.",93,citizen,1,0,Emergency
2025-04-14,Ismailia,Abu Sultan,32.209652,30.556438,gas_issue,Suspected Gas Explosion,Construction work may have damaged a pipe on Street 48.,79,citizen,1,0,True
2025-07-02,Suez,Ain Sokhna,32.491517,29.918829,gas_issue,I don't know,test,17,citizen,1,0,Unclear
2025-10-07,Suez,Ataka,32.551201,30.013791,water,School Enrollment Question,I want to know how to enroll my child in the nearby school.,86,citizen,1,0,Out_of_scope
2025-05-16,Alexandria,Montazah,29.84922,31.261579,road_damage,Flooded Road,Road is flooded and completely impassable near Building 62.,72,citizen,1,1,True
2025-12-15,Dakahlia,Mit Ghamr,31.425542,31.096874,road_damage,Flooded Road,A large pothole on Street 47 is damaging vehicles. Immediate danger — residents are evacuating. No one is answering the phone.,139,citizen,1,1,Emergency
2025-06-16,Sohag,Sohag City,31.717309,26.519097,gas_issue,asdfgh,help,11,citizen,1,0,Unclear
2025-06-21,Red Sea,Marsa Alam,33.821779,27.312705,telecom,[Follow-up] No Internet,I reported this before but it was not fixed: A cable appears to have been cut near Street 8.,116,citizen,1,1,Repeated
2025-04-22,Ismailia,Abu Sultan,32.239835,30.619205,waste_garbage,[Follow-up] Illegal Dumping,Following up on my previous report about Dead carcass in the middle of the road causing a health risk.,130,citizen,1,1,Repeated
2025-11-24,Aswan,Kom Ombo,32.842787,24.063331,waste_garbage,Trash Accumulation,Illegal dumping of construction waste near Building 45. Immediate danger — residents are evacuating.,119,citizen,1,0,Emergency
2025-07-28,Gharbia,El Santa,31.023302,30.933566,electricity,Frequent Voltage Drops,Power surges are damaging appliances in the whole building. No one is answering the phone.,113,citizen,1,0,True
2026-02-13,Sharqia,Belbeis,31.452723,30.66237,electricity,Power Outage,Power surges are damaging appliances in the whole building. The structure looks like it may collapse.,114,citizen,1,0,Emergency
2025-09-24,Dakahlia,El Gamalia,31.364793,31.01495,telecom,Lost Pet,My cat has been missing since yesterday near Building 72.,66,citizen,1,0,Out_of_scope
2025-09-16,Sohag,Sohag City,31.631169,26.499586,gas_issue,Suspected Gas Explosion,"Someone told me there is low gas pressure, the heater is not working. though everything looks fine from outside.",136,citizen,0,0,False
2025-11-07,Suez,El Arbaeen,32.552893,30.015435,water,Contaminated Water,The water smells terrible and is brown in color. Everything is broken.,89,citizen,1,1,True
2025-05-09,Luxor,Esna,32.607566,25.720598,road_damage,Damaged Pavement,A large pothole on Street 5 is damaging vehicles. Immediate danger — residents are evacuating. Please help quickly!,132,citizen,1,0,Emergency
2025-08-27,Qalyubia,Banha,31.164082,30.342564,road_damage,Road Collapse,A friend said he saw a large pothole on Street 98 is damaging vehicles. but I have not seen it myself.,116,citizen,0,0,False
2025-09-29,Qalyubia,Khusus,31.234636,30.329491,telecom,Phone Line Dead,The telephone landline has been dead for three days.,68,citizen,0,0,True
2025-11-08,Dakahlia,Talkha,31.439525,31.064539,road_damage,Flooded Road,Part of the road near Building 79 has completely collapsed.,72,citizen,1,0,True
2026-01-25,Suez,Ain Sokhna,32.525609,29.937527,telecom,No Internet,I am not sure but maybe mobile signal is completely lost in the Street 71 area. but the workers said it was already fixed.,134,citizen,1,0,False
2025-05-29,Giza,Haram,31.233856,30.073442,telecom,Phone Line Dead,A cable appears to have been cut near Street 123.,65,citizen,1,0,True
2026-01-19,Ismailia,Fayed,32.199899,30.618571,electricity,Transformer Explosion,The electricity has been out at Building 43 for hours.,76,citizen,1,1,True
2026-01-10,Aswan,Kom Ombo,32.865759,24.129846,waste_garbage,test report,idk,15,citizen,0,0,Unclear
2025-10-20,Sohag,Tahta,31.64551,26.605074,electricity,Traffic Accident Report,"A car accident occurred at Street 75, need police assistance.",85,citizen,1,0,Out_of_scope
2026-01-04,Luxor,Esna,32.581072,25.749482,road_damage,I don't know,Part of the roa,28,citizen,1,0,Unclear
2025-10-26,Red Sea,El Gouna,33.868583,27.205979,gas_issue,Suspected Gas Explosion,"Low gas pressure, the heater is not working. This is a total mess.",90,business,1,0,True
2026-02-08,Qalyubia,Khusus,31.289446,30.369801,waste_garbage,Health Hazard Waste,Trash has not been collected from Street 78 for a week. Everything is broken.,97,citizen,1,0,True
2025-06-03,Luxor,Armant,32.661794,25.717646,telecom,Phone Line Dead,The telephone landline has been dead for three days.,68,citizen,1,0,True
2026-02-11,Minya,Mallawi,30.779155,28.151798,waste_garbage,Trash Accumulation,I heard rumors about mountains of waste blocking the pavement on Street 21. but I have not seen it myself.,125,citizen,1,0,False
2025-08-19,Qalyubia,Qalyub,31.273518,30.275526,road_damage,!!! FIRE !!! - Road Collapse,FIRE!! Road is flooded and completely impassable near Building 15.,95,citizen,1,0,Emergency
2025-10-15,Minya,Abu Qurqas,30.733652,28.145625,telecom,[Follow-up] No Internet,"Still not resolved, I reported this last week: The entire building at Building 28 has no internet since yesterday.",138,citizen,1,1,Repeated
2026-02-08,Giza,6th of October City,31.194319,29.930678,electricity,Broken Street Light,A technical failure in the 500kVA transformer near Building 54. The situation is critical and life-threatening. We are suffering badly.,155,citizen,1,0,Emergency
2026-02-11,Alexandria,El Mandara,29.972271,31.276696,road_damage,Flooded Road,Road is flooded and completely impassable near Building 39. The structure looks like it may collapse. I already called before and nothing happened.,160,citizen,1,0,Emergency
2025-09-16,Minya,Minya City,30.681067,28.068407,road_damage,[Follow-up] Large Pothole,Following up on my previous report about Part of the road near Building 58 has completely collapsed.,126,citizen,1,1,Repeated
2025-07-17,Alexandria,Montazah,29.876166,31.279057,electricity,Frequent Voltage Drops,Repeated outages every night since last week at Street 148. The structure looks like it may collapse. The whole street is blocked.,153,citizen,0,1,Emergency
2026-01-23,Luxor,Karnak,32.627952,25.707359,electricity,Broken Street Light,A technical failure in the 500kVA transformer near Building 7.,82,citizen,1,0,True
2025-12-06,Aswan,Kom Ombo,32.867918,24.144795,road_damage,Large Pothole,Road is flooded and completely impassable near Building 60.,73,citizen,1,0,True
2026-01-03,Aswan,Edfu,32.935734,24.023694,electricity,Broken Street Light,A technical failure in the 500kVA transformer near Building 7.,82,citizen,1,0,True
2026-02-08,Luxor,Karnak,32.698716,25.683903,telecom,[Follow-up] No Internet,I reported this before but it was not fixed: The telephone landline has been dead for three days.,121,citizen,1,1,Repeated
2025-10-07,Suez,Ataka,32.508093,29.950261,water,No Water Supply,A friend said he saw main supply line is leaking heavily near the valve. but the workers said it was already fixed.,131,citizen,0,0,False
2025-06-14,Minya,Beni Mazar,30.721537,28.151761,electricity,!!! CRITICAL !!! - Broken Street Light,CRITICAL!! A technical failure in the 500kVA transformer near Building 48.,113,citizen,1,0,Emergency
2026-01-13,Qalyubia,Shubra El Kheima,31.227966,30.286003,water,!!! FIRE !!! - Contaminated Water,FIRE!! Sewage water is flooding the entrance of Street 63.,92,citizen,1,0,Emergency
2025-09-10,Suez,Ain Sokhna,32.612098,29.916248,water,Burst Pipe,A 4-inch diameter pipe burst in front of Building 68.,64,citizen,1,0,True
2025-05-07,Suez,Ataka,32.550717,29.888263,electricity,[Follow-up] Frequent Voltage Drops,"Still not resolved, I reported this last week: Repeated outages every night since last week at Street 96.",140,citizen,1,1,Repeated
2026-02-19,Sharqia,Zagazig,31.533851,30.510376,road_damage,Large Pothole,Road is flooded and completely impassable near Building 37.,73,citizen,0,0,True
2025-11-07,Luxor,Armant,32.602372,25.737634,road_damage,Damaged Pavement,Road is flooded and completely impassable near Building 11.,76,citizen,1,0,True
2026-02-26,Sohag,Sohag City,31.676382,26.49396,telecom,Traffic Accident Report,"A car accident occurred at Street 142, need police assistance.",86,citizen,1,0,Out_of_scope
2025-05-08,Red Sea,Hurghada,33.878664,27.321067,gas_issue,!!! URGENT !!! - Suspected Gas Explosion,URGENT!! Construction work may have damaged a pipe on Street 59.,105,citizen,1,0,Emergency
2025-07-07,Cairo,Maadi,31.276061,30.058326,gas_issue,asdfgh,The main gas me,22,citizen,0,0,Unclear
2025-05-30,Minya,Minya City,30.826192,28.110027,water,No Water Supply,I think there might be the water smells terrible and is brown in color. but the workers said it was already fixed.,130,business,0,0,False
2025-05-06,Cairo,Shubra,31.314514,30.008132,gas_issue,Valve Damage,Neighbors are evacuating due to the strong gas odor.,65,citizen,1,0,True
2026-04-07,Minya,Mallawi,30.683426,28.143997,gas_issue,Gas Smell,I heard rumors about construction work may have damaged a pipe on Street 40. but the workers said it was already fixed.,129,business,0,0,False
2025-09-24,Giza,Mohandessin,31.197857,29.939568,gas_issue,!!! URGENT !!! - Suspected Gas Explosion,URGENT!! Construction work may have damaged a pipe on Street 143. This is a total mess.,128,citizen,1,0,Emergency
